uid,domainID,siteID,namedLocation,passStartTime,passEndTime,passNumber,reachID,eventID,waterTemp,dissolvedOxygen,specificConductance,samplerType,habitatType,subdominantHabitatType,initialFrequency,initialDutyCycle,initialVoltage,finalFrequency,finalDutyCycle,finalVoltage,efTime,settingsChanged,initialFrequency2,initialDutyCycle2,initialVoltage2,finalFrequency2,finalDutyCycle2,finalVoltage2,efTime2,settingsChanged2,netIntegrity,netSetTime,netEndTime,netDeploymentTime,netLength,netDepth,targetTaxaPresent,remarks,publicationDate,release
2b6d085b-9cf7-43ca-8c88-a25242a1d531,D05,CRAM,CRAM.AOS.riparian.point.06,2016-08-30T17:00:00Z,2016-08-30T17:00:00Z,2,CRAM.20160830.06,CRAM.20160830.06.2.e-fisher,22.4,7,14.2,electrofisher,NA,NA,30,40,300,30,40,300,396,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no start and end time recorded for pass,20231227T013610Z,RELEASE-2024
b6023338-4852-4a07-85d7-3bd04c72c499,D05,CRAM,CRAM.AOS.riparian.point.06,2016-08-30T17:00:00Z,2016-08-30T17:00:00Z,3,CRAM.20160830.06,CRAM.20160830.06.3.e-fisher,22.4,7,14.2,electrofisher,NA,NA,30,40,300,30,40,300,410,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no start and end time recorded for pass,20231227T013610Z,RELEASE-2024
a46b5c82-3ed9-47a0-ab6e-adbe60ec0673,D05,CRAM,CRAM.AOS.riparian.point.03,2016-08-30T21:15:00Z,2016-08-31T19:10:00Z,1,CRAM.20160830.03,CRAM.20160830.03.1.fyke,23.2,6.1,17,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-08-30T21:15:00Z,2016-08-31T19:10:00Z,22,NA,NA,Y,NA,20231227T013610Z,RELEASE-2024
7a1d57c6-f5fe-4d7c-bc7f-802cf3e1c244,D05,CRAM,CRAM.AOS.riparian.point.06,2016-08-30T21:50:00Z,2016-08-31T16:00:00Z,1,CRAM.20160830.06,CRAM.20160830.06.1.fyke,21.9,7.8,13.9,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-08-30T21:50:00Z,2016-08-31T16:00:00Z,18,NA,NA,Y,NA,20231227T013610Z,RELEASE-2024
3b99253d-b37e-4571-a8a3-725f876c0967,D05,CRAM,CRAM.AOS.riparian.point.06,2016-08-31T02:54:00Z,2016-08-31T03:02:00Z,1,CRAM.20160830.06,CRAM.20160830.06.1.e-fisher,22.4,7,14.2,electrofisher,NA,NA,30,15,100,30,15,100,501,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no end time recorded,20231227T013610Z,RELEASE-2024
9cb9ea46-9145-4a68-b856-c792709c040b,D05,CRAM,CRAM.AOS.riparian.point.10,2016-08-31T17:00:00Z,2016-08-31T17:00:00Z,3,CRAM.20160830.10,CRAM.20160831.10.3.e-fisher,21.6,6.4,14.4,electrofisher,NA,NA,30,45,400,30,45,400,410,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no start and end time recorded for pass,20231227T013610Z,RELEASE-2024
915763ab-a40d-49d4-b3d5-41363b5aaa00,D05,CRAM,CRAM.AOS.riparian.point.10,2016-08-30T22:30:00Z,2016-09-01T00:25:00Z,1,CRAM.20160830.10,CRAM.20160830.10.1.fyke,21.6,6.4,14.4,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-08-30T22:30:00Z,2016-09-01T00:25:00Z,26,NA,NA,Y,NA,20231227T020056Z,RELEASE-2024
04f8c739-1ff0-4a0b-9cd2-dfea622c5dae,D05,CRAM,CRAM.AOS.riparian.point.10,2016-09-01T01:30:00Z,2016-09-01T01:36:00Z,1,CRAM.20160830.10,CRAM.20160831.10.1.e-fisher,21.6,6.4,14.4,electrofisher,NA,NA,30,45,400,30,45,400,359,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no end time recorded,20231227T020056Z,RELEASE-2024
b3dd773d-64c0-4dee-9303-9ff6c17b87c8,D05,CRAM,CRAM.AOS.riparian.point.10,2016-09-01T03:00:00Z,2016-09-01T03:07:00Z,2,CRAM.20160830.10,CRAM.20160831.10.2.e-fisher,21.6,6.4,14.4,electrofisher,NA,NA,30,45,400,30,45,400,368,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,no end time recorded,20231227T020056Z,RELEASE-2024
aab98f63-7313-419f-9905-94d02b8cf8af,D05,CRAM,CRAM.AOS.riparian.point.10,2016-09-01T19:10:00Z,2016-09-01T20:10:00Z,1,CRAM.20160830.10,CRAM.20160901.10.1.gill,20.8,5.6,10.6,gill net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-09-01T19:10:00Z,2016-09-01T20:10:00Z,1,NA,NA,N,NA,20231227T020056Z,RELEASE-2024
571177da-dd0a-4b24-b644-028b5f9cbc69,D05,CRAM,CRAM.AOS.riparian.point.06,2016-09-01T20:30:00Z,2016-09-01T21:40:00Z,1,CRAM.20160830.06,CRAM.20160901.06.1.gill,20.8,5.6,10.6,gill net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-09-01T20:30:00Z,2016-09-01T21:40:00Z,1.16,NA,4.8,N,NA,20231227T020056Z,RELEASE-2024
0e58705e-dead-4190-b38f-8041e7e02803,D05,CRAM,CRAM.AOS.riparian.point.03,2016-09-01T21:20:00Z,2016-09-01T22:20:00Z,1,CRAM.20160830.03,CRAM.20160901.03.1.gill,20.8,5.6,10.6,gill net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-09-01T21:20:00Z,2016-09-01T22:20:00Z,1,NA,NA,N,NA,20231227T020056Z,RELEASE-2024
e38314fc-4fd5-4bbe-86be-c0a57f72cb03,D05,CRAM,CRAM.AOS.riparian.point.04,2016-09-02T02:50:00Z,2016-09-02T04:45:00Z,1,CRAM.20160901.04,CRAM.20160901.04.1.e-fisher,20.8,5.6,10.6,electrofisher,NA,NA,NA,50,500,NA,50,500,292,0,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,NA,NA,NA,NA,NA,Y,NA,20231227T020056Z,RELEASE-2024
c6dad289-cd5b-42b8-bf55-c92b8738ad0e,D05,CRAM,CRAM.AOS.riparian.point.01,2016-09-12T22:00:00Z,2016-09-13T18:00:00Z,1,CRAM.20160912.01,CRAM.20160912.01.1.fyke,21,7.4,12.5,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-09-12T22:00:00Z,2016-09-13T18:00:00Z,20,NA,NA,Y,NA,20231227T020056Z,RELEASE-2024
361402c0-151f-4d6b-acfe-b56670d8138f,D05,CRAM,CRAM.AOS.riparian.point.02,2016-09-12T22:30:00Z,2016-09-13T16:10:00Z,1,CRAM.20160912.02,CRAM.20160912.02.1.fyke,20.5,8.5,12.3,mini-fyke net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not compromised,2016-09-12T22:30:00Z,2016-09-13T16:10:00Z,15.5,NA,NA,Y,NA,20231227T020056Z,RELEASE-2024
