table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
ais_maintenance,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,NA,NA
ais_maintenance,startDate,The start date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),NA,NA
ais_maintenance,endDate,The end date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),NA,NA
ais_maintenance,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,NA,NA
ais_maintenance,siteID,NEON site code,string,NA,basic,asIs,NA,NA
ais_maintenance,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,NA,NA
ais_maintenance,maintenanceScheduled,"Indicator of whether maintenance was scheduled, opportunistic, or both",string,NA,basic,asIs,NA,NA
ais_maintenance,maintenanceInterval,Maintenance time interval,string,NA,basic,asIs,NA,NA
ais_maintenance,buoyInspected,Indicator of whether the buoy was inspected,string,NA,basic,LOV,NA,NA
ais_maintenance,buoySondeCleaned,Indicator of whether the buoy sonde was cleaned,string,NA,basic,LOV,NA,NA
ais_maintenance,buoySondeCalibrated,Indicator of whether the buoy sonde was calibrated,string,NA,basic,LOV,NA,NA
ais_maintenance,s1StreamInspected,Indicator of whether sensor set one (S1) was inspected,string,NA,basic,LOV,NA,NA
ais_maintenance,s1StreamSondeCalibrated,Indicator of whether the sonde at sensor set one (S1) was calibrated,string,NA,basic,LOV,NA,NA
ais_maintenance,s1StreamSondeCleaned,Indicator of whether the sonde at sensor set one (S1) was cleaned,string,NA,basic,LOV,NA,NA
ais_maintenance,s2StreamInspected,Indicator of whether sensor set two (S2) was inspected,string,NA,basic,LOV,NA,NA
ais_maintenance,s2StreamSondeCleaned,Indicator of whether the sonde at sensor set two (S2) was cleaned,string,NA,basic,LOV,NA,NA
ais_maintenance,s2StreamSondeCalibrated,Indicator of whether the sonde at sensor set two (S2) was calibrated,string,NA,basic,LOV,NA,NA
ais_maintenance,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,NA
ais_maintenance,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,NA
ais_multisondeCleanCal,uid,Unique ID within NEON database; an identifier for the record,string,NA,expanded,asIs,NA,NA
ais_multisondeCleanCal,startDate,The start date-time or interval during which an event occurred,dateTime,NA,expanded,yyyy-MM-dd'T'HH:mm'Z'(floor),NA,NA
ais_multisondeCleanCal,endDate,The end date-time or interval during which an event occurred,dateTime,NA,expanded,yyyy-MM-dd'T'HH:mm'Z'(floor),NA,NA
ais_multisondeCleanCal,domainID,Unique identifier of the NEON domain,string,NA,expanded,asIs,NA,NA
ais_multisondeCleanCal,siteID,NEON site code,string,NA,expanded,asIs,NA,NA
ais_multisondeCleanCal,namedLocation,Name of the measurement location in the NEON database,string,NA,expanded,asIs,NA,NA
ais_multisondeCleanCal,s1BiofoulingLevel,Level of biofouling on sensor set one (S1),string,NA,expanded,LOV,NA,NA
ais_multisondeCleanCal,s2BiofoulingLevel,Level of biofouling on sensor set two (S2),string,NA,expanded,LOV,NA,NA
ais_multisondeCleanCal,s1PreCleaningChla,Pre-cleaning chlorophyll a reading at sensor set one (S1),real,microgramsPerLiter,expanded,*.##(round),NA,NA
ais_multisondeCleanCal,s1PostCleaningChla,Post-cleaning chlorophyll a reading at sensor set one (S1),real,microgramsPerLiter,expanded,*.##(round),NA,NA
ais_multisondeCleanCal,s2PreCleaningChla,Pre-cleaning chlorophyll a reading at sensor set two (S2),real,microgramsPerLiter,expanded,*.##(round),NA,NA
ais_multisondeCleanCal,s2PostCleaningChla,Post-cleaning chlorophyll a reading at sensor set two (S2),real,microgramsPerLiter,expanded,*.##(round),NA,NA
ais_multisondeCleanCal,s1ChlaCalSuccessful,Indicator of whether or not the first chlorophyll a calibration at sensor set one (S1) was successful,string,NA,expanded,LOV,NA,NA
ais_multisondeCleanCal,s2ChlaCalSuccessful,Indicator of whether or not the first chlorophyll a calibration at sensor set two (S2) was successful,string,NA,expanded,LOV,NA,NA
ais_multisondeCleanCal,s1ChlaBucket,Bucket comparison chlorophyll a reading at sensor set one (S1),real,microgramsPerLiter,expanded,*.##(round),NA,NA
ais_multisondeCleanCal,s2ChlaBucket,Bucket comparison chlorophyll a reading at sensor set two (S2),real,microgramsPerLiter,expanded,*.##(round),NA,NA
ais_multisondeCleanCal,chlaComparisonSuccessful,Indicator of whether or not the first chlorophyll a sensor comparison was successful,string,NA,expanded,LOV,NA,NA
ais_multisondeCleanCal,s1ChlaCal2Successful,Indicator of whether or not the second chlorophyll a calibration  at sensor set one (S1) was successful,string,NA,expanded,LOV,NA,NA
ais_multisondeCleanCal,s2ChlaCal2Successful,Indicator of whether or not the second chlorophyll a calibration at sensor set two (S2) was successful,string,NA,expanded,LOV,NA,NA
