siteID,collectDate,mean_TN_Con_mgL,mean_TP_Con_mgL,mean_NH4_Con_mgL,mean_OrthoP_Con_mgL,mean_NO3NO2_Con_mgL
CRAM,2015-05-05T20:45:00Z,0.3118,NA,NA,NA,NA
CRAM,2015-06-02T15:00:00Z,NA,5e-4,NA,NA,NA
CRAM,2015-06-02T16:00:00Z,NA,NA,NA,0.017,NA
CRAM,2015-06-02T17:15:00Z,NA,5e-4,NA,NA,NA
CRAM,2015-06-02T18:15:00Z,NA,NA,0.058,NA,NA
CRAM,2016-10-18T14:35:00Z,NA,0.005,NA,NA,NA
CRAM,2016-10-18T15:20:00Z,NA,NA,NA,NA,0.019
CRAM,2016-10-18T15:45:00Z,NA,NA,NA,NA,0.003
CRAM,2016-11-08T16:20:00Z,NA,NA,NA,0.064,0.011
CRAM,2016-11-08T17:45:00Z,NA,NA,0.464,NA,NA
CRAM,2016-11-21T15:35:00Z,0.2541,NA,NA,NA,0.009
CRAM,2016-11-21T16:15:00Z,NA,NA,0.133,NA,NA
CRAM,2017-03-08T15:30:00Z,NA,NA,NA,0.049,NA
CRAM,2017-04-18T14:20:00Z,NA,NA,NA,NA,0.059
CRAM,2017-04-18T14:55:00Z,NA,0.005,0.047,NA,NA
CRAM,2017-04-18T15:45:00Z,0.3052,NA,NA,0.017,NA
CRAM,2017-04-18T16:30:00Z,0.3449,NA,NA,0.019,NA
CRAM,2017-05-02T14:55:00Z,0.3324,NA,NA,NA,NA
CRAM,2017-05-02T15:25:00Z,NA,0.008,NA,NA,NA
CRAM,2017-05-02T16:27:00Z,NA,NA,0.065,NA,NA
CRAM,2017-06-06T14:38:00Z,0.285,NA,NA,NA,NA
CRAM,2017-06-06T15:03:00Z,NA,0.066,0.053,NA,NA
CRAM,2017-07-11T14:41:00Z,0.3234,0.072,NA,0.023,NA
CRAM,2017-07-11T15:11:00Z,NA,NA,NA,0.023,NA
CRAM,2017-07-11T16:22:00Z,NA,0.037,0.1085,0.0235,0.003
CRAM,2017-07-11T16:23:00Z,NA,NA,NA,0.026,0.03
CRAM,2017-08-01T14:16:00Z,NA,NA,NA,NA,0.0454
CRAM,2017-08-01T15:59:00Z,NA,NA,0.1901,NA,NA
CRAM,2017-08-29T14:25:00Z,NA,NA,NA,0.031,NA
CRAM,2017-08-29T14:42:00Z,NA,NA,0.0617,0.028,0.0243
CRAM,2017-08-29T15:25:00Z,NA,NA,0.1124,NA,NA
CRAM,2017-08-29T15:40:00Z,NA,NA,0.3349,NA,NA
CRAM,2017-10-03T16:55:00Z,NA,0.072,NA,0.012,NA
CRAM,2017-10-16T14:49:00Z,NA,NA,NA,0.018,NA
CRAM,2017-10-16T16:16:00Z,NA,NA,NA,NA,0.0125
CRAM,2017-11-07T16:10:00Z,NA,NA,0.1064,NA,NA
CRAM,2017-11-07T16:28:00Z,0.2472,0.004,NA,NA,0.7019
CRAM,2018-02-13T18:28:00Z,NA,5e-4,NA,NA,NA
CRAM,2018-05-07T15:38:00Z,NA,NA,NA,0.022,NA
CRAM,2018-05-07T16:29:00Z,NA,NA,NA,NA,0.0812
CRAM,2018-05-22T15:44:00Z,NA,NA,0.0122,NA,NA
CRAM,2018-05-22T15:45:00Z,0.4827,NA,0.0113,NA,NA
CRAM,2018-06-05T17:20:00Z,0.3424,0.0186,NA,NA,NA
CRAM,2018-06-05T17:40:00Z,0.2203,NA,NA,NA,NA
CRAM,2018-07-10T16:03:00Z,0.2968,NA,NA,NA,NA
CRAM,2018-07-10T16:28:00Z,NA,0.043,NA,NA,NA
CRAM,2018-08-07T15:38:00Z,0.2927,NA,NA,0.014,NA
CRAM,2018-09-11T14:16:00Z,NA,NA,NA,0.04,NA
CRAM,2018-09-11T14:58:00Z,NA,NA,0.0066,0.087,NA
CRAM,2018-10-02T15:59:00Z,NA,NA,NA,NA,0.023
CRAM,2018-10-16T16:35:00Z,NA,0.9505,NA,0.022,NA
CRAM,2018-10-16T16:49:00Z,0.8338,NA,NA,0.066,NA
CRAM,2018-11-06T16:42:00Z,NA,0.0477,NA,NA,NA
CRAM,2019-02-18T17:45:00Z,0.4162,NA,NA,NA,NA
CRAM,2019-05-22T14:51:00Z,NA,NA,NA,NA,0.0245
CRAM,2019-06-04T17:42:00Z,NA,NA,NA,0.049,NA
CRAM,2019-07-09T14:55:00Z,0.2597,0.319,NA,0.039,0.0123
CRAM,2019-07-09T15:20:00Z,0.4157,NA,0.2391,0.035,NA
CRAM,2019-09-09T14:53:00Z,NA,0.223,0.0179,NA,6e-4
CRAM,2019-09-09T15:43:00Z,0.4734,0.2612,NA,NA,0.0131
CRAM,2019-10-01T14:53:00Z,NA,0.054,NA,NA,0.0034
CRAM,2019-10-01T15:06:00Z,NA,NA,0.1349,1.703,NA
CRAM,2019-10-15T14:41:00Z,NA,0.068,0.0428,NA,NA
CRAM,2019-10-15T15:10:00Z,NA,0.0206,NA,NA,NA
CRAM,2019-11-05T15:37:00Z,NA,NA,NA,NA,0.0038
CRAM,2020-02-03T16:47:00Z,NA,0.027,NA,0.0121,NA
CRAM,2020-03-02T15:55:00Z,NA,NA,NA,0.0332,NA
CRAM,2020-07-06T13:35:00Z,0.2373,NA,NA,NA,NA
CRAM,2020-07-06T13:51:00Z,0.328,0.0252,0.0948,0.0037,NA
CRAM,2020-08-04T15:41:00Z,0.29190000000000005,NA,NA,NA,NA
CRAM,2020-08-04T16:34:00Z,NA,0.0257,NA,NA,NA
CRAM,2020-09-01T17:41:00Z,NA,NA,NA,0.0115,NA
CRAM,2020-10-20T16:38:00Z,0.1862,NA,NA,NA,NA
CRAM,2021-02-09T17:41:00Z,NA,0.0146,NA,NA,NA
CRAM,2021-04-20T15:01:00Z,NA,NA,NA,NA,0.0014
CRAM,2021-04-20T15:32:00Z,NA,NA,NA,4e-4,NA
CRAM,2021-06-01T15:48:00Z,0.2801,NA,0.0023,NA,NA
CRAM,2021-06-01T16:02:00Z,NA,NA,NA,NA,0.0182
CRAM,2021-07-06T15:30:00Z,NA,0.0228,NA,NA,NA
CRAM,2021-08-09T17:25:00Z,0.2064,NA,8e-4,NA,NA
CRAM,2021-08-09T17:41:00Z,NA,NA,NA,0.0026,7e-4
CRAM,2021-09-07T15:38:00Z,NA,0.0071,NA,NA,NA
CRAM,2021-09-07T15:46:00Z,NA,NA,0.044,NA,NA
CRAM,2021-10-05T14:59:00Z,NA,0.0082,0.0036,NA,NA
CRAM,2021-10-05T15:16:00Z,NA,NA,0.0462,NA,NA
CRAM,2021-10-19T15:57:00Z,NA,NA,NA,4e-4,NA
CRAM,2021-10-19T16:00:00Z,NA,0.0253,NA,NA,NA
CRAM,2021-11-02T16:32:00Z,NA,NA,NA,NA,0.0015
CRAM,2021-11-02T16:38:00Z,NA,NA,NA,0.0029,NA
CRAM,2022-01-31T17:17:00Z,0.4128,0.02,NA,NA,0.0085
CRAM,2022-02-28T16:19:00Z,NA,0.0131,NA,NA,NA
CRAM,2022-06-01T16:47:00Z,NA,0.0126,NA,NA,NA
CRAM,2022-07-05T16:26:00Z,0.2439,NA,NA,NA,NA
CRAM,2022-07-05T16:35:00Z,NA,NA,NA,0.0042,0.0203
CRAM,2022-08-02T15:18:00Z,0.2287,0.0357,NA,NA,NA
CRAM,2022-08-02T16:01:00Z,0.4404,0.2196,0.2082,NA,0.0122
CRAM,2022-10-11T16:46:00Z,0.2956,NA,NA,NA,0.0046
CRAM,2022-10-11T17:14:00Z,NA,NA,0.3966,0.0055,0.0023
CRAM,2022-11-01T16:05:00Z,NA,0.0291,NA,NA,NA
CRAM,2022-11-15T17:39:00Z,NA,NA,NA,NA,0.0065
CRAM,2023-02-07T18:12:00Z,NA,NA,NA,9e-4,NA
CRAM,2023-03-13T17:44:00Z,NA,NA,NA,1e-4,0.0125
CRAM,2023-04-04T18:09:00Z,NA,NA,0.0662,NA,0.0203
CRAM,2023-05-08T15:45:00Z,0.3831,NA,NA,NA,NA
CRAM,2023-06-05T15:03:00Z,NA,NA,NA,3e-4,NA
CRAM,2023-06-05T15:47:00Z,NA,0.019,NA,0.0017,0.0562
CRAM,2023-07-05T16:16:00Z,0.3006,NA,NA,NA,NA
CRAM,2023-07-05T16:49:00Z,NA,0.0215,NA,NA,NA
CRAM,2023-08-28T16:11:00Z,0.5591,NA,NA,NA,0.0013
CRAM,2023-10-04T15:35:00Z,NA,NA,NA,0.0012,NA
CRAM,2023-10-04T15:39:00Z,NA,NA,0.3094,NA,NA
CRAM,2023-10-16T15:17:00Z,NA,0.0093,NA,0.0022,NA
CRAM,2023-10-16T15:31:00Z,NA,0.0359,NA,0.0068,NA
PRLA,2014-05-14T15:15:00Z,2.75,0.118,NA,NA,NA
