adjAshFreeDryMass,siteID,collectDate2
7e-4,CRAM,2016-04-26
0.0052,CRAM,2016-04-26
0.0082,CRAM,2016-04-26
0.0028,CRAM,2016-04-26
0.0045,CRAM,2016-04-26
0.0022,CRAM,2016-04-26
0.0014,CRAM,2016-07-13
0.0024,CRAM,2016-07-13
0.005,CRAM,2016-07-13
0.0016,CRAM,2016-07-13
0.0021,CRAM,2016-07-13
6e-4,CRAM,2016-07-13
5e-4,CRAM,2016-07-13
0.0014,CRAM,2016-09-19
0.0026,CRAM,2016-09-19
0.0022,CRAM,2016-09-19
0,CRAM,2016-09-19
0,CRAM,2016-09-19
0.0017,CRAM,2016-09-19
0.0027,CRAM,2016-09-19
0,CRAM,2017-05-03
3e-4,CRAM,2017-05-03
0,CRAM,2017-05-03
0.0013,CRAM,2017-05-04
0.0015,CRAM,2017-05-04
0.001,CRAM,2017-05-04
0.0019,CRAM,2017-05-04
0.0013,CRAM,2017-05-04
0.0024,CRAM,2017-07-05
0.0021,CRAM,2017-07-05
6e-4,CRAM,2017-07-05
4e-4,CRAM,2017-07-05
0.001,CRAM,2017-07-05
0.002,CRAM,2017-07-05
0.0013,CRAM,2017-07-05
6e-4,CRAM,2017-09-14
3e-4,CRAM,2017-09-14
0.0044,CRAM,2017-09-14
0.0026,CRAM,2017-09-14
5e-4,CRAM,2017-09-14
0.0027,CRAM,2017-09-14
5e-4,CRAM,2017-09-14
0.0033,CRAM,2018-05-10
0.0011,CRAM,2018-05-10
0.0028,CRAM,2018-05-10
2e-4,CRAM,2018-05-10
0.004,CRAM,2018-05-10
9e-4,CRAM,2018-05-10
0.0025,CRAM,2018-05-10
0.0019,CRAM,2018-05-10
0.0011,CRAM,2018-07-16
0.0011,CRAM,2018-07-16
0.001,CRAM,2018-07-16
0.0021,CRAM,2018-07-16
0.0045,CRAM,2018-07-16
0.0056,CRAM,2018-07-16
0.003,CRAM,2018-07-16
0.0026,CRAM,2018-07-16
4e-4,CRAM,2018-09-27
0.0033,CRAM,2018-09-27
2e-4,CRAM,2018-09-27
7e-4,CRAM,2018-09-27
0.0017,CRAM,2018-09-27
0.0019,CRAM,2018-09-27
9e-4,CRAM,2018-09-27
3e-4,CRAM,2018-09-27
0.0013,CRAM,2019-05-08
0.0016,CRAM,2019-05-08
7e-4,CRAM,2019-05-08
4e-4,CRAM,2019-05-08
6e-4,CRAM,2019-05-08
0.0016,CRAM,2019-05-08
0.0021,CRAM,2019-05-08
0.0023,CRAM,2019-05-08
0.001,CRAM,2019-07-11
2e-4,CRAM,2019-07-11
0.0014,CRAM,2019-07-11
2e-4,CRAM,2019-07-11
2e-4,CRAM,2019-07-11
0.0021,CRAM,2019-07-11
0.0028,CRAM,2019-07-11
0.001,CRAM,2019-07-11
5e-4,CRAM,2019-09-25
8e-4,CRAM,2019-09-25
5e-4,CRAM,2019-09-25
6e-4,CRAM,2019-09-25
4e-4,CRAM,2019-09-25
7e-4,CRAM,2019-09-25
0.0015,CRAM,2019-09-25
8e-4,CRAM,2019-09-25
0.0016,PRLA,2016-04-21
0.0012,PRLA,2016-04-21
0.0025,PRLA,2016-04-21
0.0025,PRLA,2016-04-21
0.0015,PRLA,2016-04-21
0.0012,PRLA,2016-04-21
0.0013,PRLA,2016-04-21
0.0018,PRLA,2016-04-21
0.0032,PRLA,2016-07-18
0.0025,PRLA,2016-07-18
0.0018,PRLA,2016-07-18
0.003,PRLA,2016-07-18
0.0053,PRLA,2016-07-18
0.0029,PRLA,2016-07-18
0.0019,PRLA,2016-07-18
0.0036,PRLA,2016-07-18
0.0028,PRLA,2016-09-14
0.0015,PRLA,2016-09-14
0.0012,PRLA,2016-09-14
0.0011,PRLA,2016-09-14
0.0023,PRLA,2016-09-14
0.0026,PRLA,2016-09-14
0.0012,PRLA,2016-09-14
0.0027,PRLA,2016-09-14
0.0013,PRLA,2017-04-17
0.0028,PRLA,2017-04-17
0.0015,PRLA,2017-04-17
0.0014,PRLA,2017-04-17
0.0011,PRLA,2017-04-17
0.0017,PRLA,2017-04-17
0.0034,PRLA,2017-04-17
0.0025,PRLA,2017-04-17
0.0027,PRLA,2017-07-10
0.003,PRLA,2017-07-10
0.0019,PRLA,2017-07-10
0.0026,PRLA,2017-07-10
0.0052,PRLA,2017-07-10
0.002,PRLA,2017-07-10
0.0031,PRLA,2017-07-10
0.0034,PRLA,2017-07-10
0.0031,PRLA,2017-09-11
0.0023,PRLA,2017-09-11
0.0032,PRLA,2017-09-11
0.0025,PRLA,2017-09-11
0.0028,PRLA,2017-09-11
0.001,PRLA,2017-09-11
0.0027,PRLA,2017-09-11
0.0021,PRLA,2017-09-11
0.0038,PRLA,2018-05-09
0.0036,PRLA,2018-05-09
0.0022,PRLA,2018-05-09
0.0028,PRLA,2018-05-09
0.0016,PRLA,2018-05-09
0.0033,PRLA,2018-05-09
0.0021,PRLA,2018-05-09
0.004,PRLA,2018-05-09
0.0025,PRLA,2018-07-11
0.0047,PRLA,2018-07-11
0.0027,PRLA,2018-07-11
0.0022,PRLA,2018-07-11
0.0026,PRLA,2018-07-11
0.0024,PRLA,2018-07-11
9e-4,PRLA,2018-07-11
7e-4,PRLA,2018-07-11
0.0019,PRLA,2018-09-11
0.0022,PRLA,2018-09-11
0.0045,PRLA,2018-09-11
0.0027,PRLA,2018-09-11
0.0047,PRLA,2018-09-11
0.0041,PRLA,2018-09-11
0.0034,PRLA,2018-09-11
0.0019,PRLA,2018-09-11
0.0014,PRLA,2019-04-24
0.0012,PRLA,2019-04-24
0.0012,PRLA,2019-04-24
9e-4,PRLA,2019-04-24
0.0016,PRLA,2019-04-24
6e-4,PRLA,2019-04-24
8e-4,PRLA,2019-04-24
7e-4,PRLA,2019-04-24
0.0029,PRLA,2019-09-10
7e-4,PRLA,2019-09-10
9e-4,PRLA,2019-09-10
0.0025,PRLA,2019-09-10
0.0018,PRLA,2019-09-10
0.0029,PRLA,2019-09-10
4e-4,PRLA,2019-09-10
8e-4,PRLA,2019-09-10
0.0012,TOOK,2016-08-10
1e-4,TOOK,2016-08-10
8e-4,TOOK,2016-08-10
8e-4,TOOK,2016-08-10
3e-4,TOOK,2016-08-10
0.0016,TOOK,2016-08-10
1e-4,TOOK,2016-08-10
0.0014,TOOK,2016-08-10
0.001,TOOK,2017-06-25
0.002,TOOK,2017-06-25
0,TOOK,2017-06-25
0.006,TOOK,2017-06-25
0.005,TOOK,2017-06-25
0.001,TOOK,2017-06-25
0.003,TOOK,2017-06-25
0.0017,TOOK,2017-07-26
2e-4,TOOK,2017-07-26
0,TOOK,2017-07-26
0.0011,TOOK,2017-07-26
9e-4,TOOK,2017-07-26
9e-4,TOOK,2017-07-26
5e-4,TOOK,2017-07-26
0.0012,TOOK,2017-07-26
1e-4,TOOK,2017-09-06
0,TOOK,2017-09-06
3e-4,TOOK,2017-09-06
0.0018,TOOK,2017-09-06
0,TOOK,2017-09-06
5e-4,TOOK,2017-09-06
0,TOOK,2017-09-06
0.0013,TOOK,2017-09-06
7e-4,TOOK,2018-06-28
0.0015,TOOK,2018-06-28
3e-4,TOOK,2018-06-28
5e-4,TOOK,2018-06-28
0.0011,TOOK,2018-06-28
2e-4,TOOK,2018-06-28
4e-4,TOOK,2018-06-28
5e-4,TOOK,2018-08-01
6e-4,TOOK,2018-08-01
0.0013,TOOK,2018-08-01
0.0021,TOOK,2018-08-01
0,TOOK,2018-08-01
9e-4,TOOK,2018-08-01
0.0027,TOOK,2018-08-01
0.0031,TOOK,2018-08-01
0.003,TOOK,2018-09-19
0.0043,TOOK,2018-09-19
4e-4,TOOK,2018-09-19
0.0025,TOOK,2018-09-19
3e-4,TOOK,2018-09-19
4e-4,TOOK,2018-09-19
0.0017,TOOK,2018-09-19
0.0015,TOOK,2018-09-19
0.0024,TOOK,2019-06-21
5e-4,TOOK,2019-06-21
9e-4,TOOK,2019-06-21
5e-4,TOOK,2019-06-21
3e-4,TOOK,2019-06-21
0.0018,TOOK,2019-06-21
0.0014,TOOK,2019-06-21
0.0016,TOOK,2019-06-21
2e-4,TOOK,2019-07-31
1e-4,TOOK,2019-07-31
0.0014,TOOK,2019-07-31
5e-4,TOOK,2019-07-31
0,TOOK,2019-07-31
1e-4,TOOK,2019-07-31
0.0011,TOOK,2019-07-31
7e-4,TOOK,2019-07-31
-7e-4,TOOK,2019-09-10
0.0015,TOOK,2019-09-10
3e-4,TOOK,2019-09-10
0,TOOK,2019-09-10
-0.001,TOOK,2019-09-10
0,TOOK,2019-09-10
1e-4,TOOK,2019-09-10
0,TOOK,2019-09-10
