siteID,collectYear,collectMonth,mean_adjAshFreeDryMass
CRAM,2016,4,0.003933333333333334
CRAM,2016,7,0.0019428571428571429
CRAM,2016,9,0.0015142857142857143
CRAM,2017,5,9.125e-4
CRAM,2017,7,0.0014
CRAM,2017,9,0.0016571428571428572
CRAM,2018,5,0.0020875
CRAM,2018,7,0.002625
CRAM,2018,9,0.001175
CRAM,2019,5,0.001325
CRAM,2019,7,0.0011125
CRAM,2019,9,7.250000000000001e-4
PRLA,2016,4,0.0017
PRLA,2016,7,0.003025
PRLA,2016,9,0.001925
PRLA,2017,4,0.0019625
PRLA,2017,7,0.0029875
PRLA,2017,9,0.0024625
PRLA,2018,5,0.002925
PRLA,2018,7,0.0023375
PRLA,2018,9,0.003175
PRLA,2019,4,0.00105
PRLA,2019,9,0.0016125
TOOK,2016,8,7.875e-4
TOOK,2017,6,0.0025714285714285713
TOOK,2017,7,8.125e-4
TOOK,2017,9,5e-4
TOOK,2018,6,6.714285714285714e-4
TOOK,2018,8,0.0014
TOOK,2018,9,0.0017625
TOOK,2019,6,0.001175
TOOK,2019,7,5.125e-4
TOOK,2019,9,2.499999999999997e-5
