siteID,collectDate,taxonID,scientificName,fishTotalLength,fishWeight,fishLifeStage
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,109,15.8,adult
CRAM,2017-05-01,PERFLA,Perca flavescens,160,23.2,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,61,2.3,juvenile
CRAM,2017-05-01,NOTCRY,Notemigonus crysoleucas,209,92.1,adult
CRAM,2017-05-01,PERFLA,Perca flavescens,76,3.1,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,68,2.5,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,124,26.2,adult
CRAM,2017-05-01,NOTCRY,Notemigonus crysoleucas,124,16,adult
CRAM,2017-05-01,PERFLA,Perca flavescens,74,2.6,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,185,59.1,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,57,1.8,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,64,3.1,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,69,2.4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,58,2.1,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,67,2.8,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,76,4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,85,8.5,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,76,4.8,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,68,3.3,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,69,2.7,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,65,2,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,70,2.6,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,72,3.1,juvenile
CRAM,2017-05-01,CHRNEO,Chrosomus neogaeus,86,5,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,67,3.5,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,68,3.7,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,109,16.5,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,63,2.3,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,70,3.8,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,77,3.1,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,80,3.4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,73,3.4,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,77,3.2,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,177,85.1,adult
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,87,7.6,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,65,3.1,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,51,2.1,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,74,2.9,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,72,4.1,juvenile
CRAM,2017-05-01,PERFLA,Perca flavescens,67,3.2,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,69,3.7,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,174,79.1,adult
CRAM,2017-05-01,PERFLA,Perca flavescens,69,2.4,juvenile
CRAM,2017-05-01,LEPMAC,Lepomis macrochirus,126,27,adult
