siteID,mean_TN_Con_mgL,mean_TP_Con_mgL,mean_NH4_Con_mgL,mean_OrthoP_Con_mgL,mean_NO3NO2_Con_mgL,collectYear,collectMonth
CRAM,0.3118,NA,NA,NA,NA,2015,5
CRAM,NA,5e-4,NA,NA,NA,2015,6
CRAM,NA,NA,NA,0.017,NA,2015,6
CRAM,NA,5e-4,NA,NA,NA,2015,6
CRAM,NA,NA,0.058,NA,NA,2015,6
CRAM,NA,0.005,NA,NA,NA,2016,10
CRAM,NA,NA,NA,NA,0.019,2016,10
CRAM,NA,NA,NA,NA,0.003,2016,10
CRAM,NA,NA,NA,0.064,0.011,2016,11
CRAM,NA,NA,0.464,NA,NA,2016,11
CRAM,0.2541,NA,NA,NA,0.009,2016,11
CRAM,NA,NA,0.133,NA,NA,2016,11
CRAM,NA,NA,NA,0.049,NA,2017,3
CRAM,NA,NA,NA,NA,0.059,2017,4
CRAM,NA,0.005,0.047,NA,NA,2017,4
CRAM,0.3052,NA,NA,0.017,NA,2017,4
CRAM,0.3449,NA,NA,0.019,NA,2017,4
CRAM,0.3324,NA,NA,NA,NA,2017,5
CRAM,NA,0.008,NA,NA,NA,2017,5
CRAM,NA,NA,0.065,NA,NA,2017,5
CRAM,0.285,NA,NA,NA,NA,2017,6
CRAM,NA,0.066,0.053,NA,NA,2017,6
CRAM,0.3234,0.072,NA,0.023,NA,2017,7
CRAM,NA,NA,NA,0.023,NA,2017,7
CRAM,NA,0.037,0.1085,0.0235,0.003,2017,7
CRAM,NA,NA,NA,0.026,0.03,2017,7
CRAM,NA,NA,NA,NA,0.0454,2017,8
CRAM,NA,NA,0.1901,NA,NA,2017,8
CRAM,NA,NA,NA,0.031,NA,2017,8
CRAM,NA,NA,0.0617,0.028,0.0243,2017,8
CRAM,NA,NA,0.1124,NA,NA,2017,8
CRAM,NA,NA,0.3349,NA,NA,2017,8
CRAM,NA,0.072,NA,0.012,NA,2017,10
CRAM,NA,NA,NA,0.018,NA,2017,10
CRAM,NA,NA,NA,NA,0.0125,2017,10
CRAM,NA,NA,0.1064,NA,NA,2017,11
CRAM,0.2472,0.004,NA,NA,0.7019,2017,11
CRAM,NA,5e-4,NA,NA,NA,2018,2
CRAM,NA,NA,NA,0.022,NA,2018,5
CRAM,NA,NA,NA,NA,0.0812,2018,5
CRAM,NA,NA,0.0122,NA,NA,2018,5
CRAM,0.4827,NA,0.0113,NA,NA,2018,5
CRAM,0.3424,0.0186,NA,NA,NA,2018,6
CRAM,0.2203,NA,NA,NA,NA,2018,6
CRAM,0.2968,NA,NA,NA,NA,2018,7
CRAM,NA,0.043,NA,NA,NA,2018,7
CRAM,0.2927,NA,NA,0.014,NA,2018,8
CRAM,NA,NA,NA,0.04,NA,2018,9
CRAM,NA,NA,0.0066,0.087,NA,2018,9
CRAM,NA,NA,NA,NA,0.023,2018,10
CRAM,NA,0.9505,NA,0.022,NA,2018,10
CRAM,0.8338,NA,NA,0.066,NA,2018,10
CRAM,NA,0.0477,NA,NA,NA,2018,11
CRAM,0.4162,NA,NA,NA,NA,2019,2
CRAM,NA,NA,NA,NA,0.0245,2019,5
CRAM,NA,NA,NA,0.049,NA,2019,6
CRAM,0.2597,0.319,NA,0.039,0.0123,2019,7
CRAM,0.4157,NA,0.2391,0.035,NA,2019,7
CRAM,NA,0.223,0.0179,NA,6e-4,2019,9
CRAM,0.4734,0.2612,NA,NA,0.0131,2019,9
CRAM,NA,0.054,NA,NA,0.0034,2019,10
CRAM,NA,NA,0.1349,1.703,NA,2019,10
CRAM,NA,0.068,0.0428,NA,NA,2019,10
CRAM,NA,0.0206,NA,NA,NA,2019,10
CRAM,NA,NA,NA,NA,0.0038,2019,11
CRAM,NA,0.027,NA,0.0121,NA,2020,2
CRAM,NA,NA,NA,0.0332,NA,2020,3
CRAM,0.2373,NA,NA,NA,NA,2020,7
CRAM,0.328,0.0252,0.0948,0.0037,NA,2020,7
CRAM,0.29190000000000005,NA,NA,NA,NA,2020,8
CRAM,NA,0.0257,NA,NA,NA,2020,8
CRAM,NA,NA,NA,0.0115,NA,2020,9
CRAM,0.1862,NA,NA,NA,NA,2020,10
CRAM,NA,0.0146,NA,NA,NA,2021,2
CRAM,NA,NA,NA,NA,0.0014,2021,4
CRAM,NA,NA,NA,4e-4,NA,2021,4
CRAM,0.2801,NA,0.0023,NA,NA,2021,6
CRAM,NA,NA,NA,NA,0.0182,2021,6
CRAM,NA,0.0228,NA,NA,NA,2021,7
CRAM,0.2064,NA,8e-4,NA,NA,2021,8
CRAM,NA,NA,NA,0.0026,7e-4,2021,8
CRAM,NA,0.0071,NA,NA,NA,2021,9
CRAM,NA,NA,0.044,NA,NA,2021,9
CRAM,NA,0.0082,0.0036,NA,NA,2021,10
CRAM,NA,NA,0.0462,NA,NA,2021,10
CRAM,NA,NA,NA,4e-4,NA,2021,10
CRAM,NA,0.0253,NA,NA,NA,2021,10
CRAM,NA,NA,NA,NA,0.0015,2021,11
CRAM,NA,NA,NA,0.0029,NA,2021,11
CRAM,0.4128,0.02,NA,NA,0.0085,2022,1
CRAM,NA,0.0131,NA,NA,NA,2022,2
CRAM,NA,0.0126,NA,NA,NA,2022,6
CRAM,0.2439,NA,NA,NA,NA,2022,7
CRAM,NA,NA,NA,0.0042,0.0203,2022,7
CRAM,0.2287,0.0357,NA,NA,NA,2022,8
CRAM,0.4404,0.2196,0.2082,NA,0.0122,2022,8
CRAM,0.2956,NA,NA,NA,0.0046,2022,10
CRAM,NA,NA,0.3966,0.0055,0.0023,2022,10
CRAM,NA,0.0291,NA,NA,NA,2022,11
