siteID,collectDate,NH4_mgL,NIT_mgL,SRP_mgL,TN_mgL,TP_mgL
CRAM,2015-05-01,0.02725,0.0075,0.02175,0.3074,0.008
CRAM,2015-06-01,0.0476,0.010333333333333333,0.0562,0.28586666666666666,0.016866666666666665
CRAM,2016-10-01,0.099,0.0085,0.093,0.29914999999999997,0.007625
CRAM,2016-11-01,0.189,0.013142857142857144,0.15,0.3039428571428572,0.022142857142857145
CRAM,2017-02-01,NA,0.025,0.032,0.3169,0.003
CRAM,2017-03-01,0.16,0.089,0.049,0.467,0.001
CRAM,2017-04-01,0.03875,0.06075,0.01825,0.324775,0.0125
CRAM,2017-05-01,0.046,0.0165,0.015,0.3382,0.01025
CRAM,2017-06-01,0.06925,0.0245,0.002,0.317975,0.026000000000000002
CRAM,2017-07-01,0.13725,0.014285714285714285,0.02475,0.36305,0.031775
CRAM,2017-08-01,0.14045833333333332,0.040891666666666666,0.033416666666666664,0.37096666666666667,0.020333333333333335
CRAM,2017-10-01,0.200375,0.0164125,0.013999999999999999,0.3943125,0.042874999999999996
CRAM,2017-11-01,0.1226,0.248,0.017333333333333333,0.2335,0.0036666666666666666
CRAM,2018-02-01,0.156,0.035,0.049,0.256,5e-4
CRAM,2018-03-01,0.0425,0.026,0.007,0.2805,0.042
CRAM,2018-05-01,0.0786,0.059399999999999994,0.025750000000000002,0.506525,0.086975
CRAM,2018-06-01,0.0521,0.024300000000000002,0.0125,0.28135,0.019299999999999998
CRAM,2018-07-01,0.060399999999999995,0.0049499999999999995,0.0165,0.3197,0.034
CRAM,2018-08-01,0.1765,0.02975,0.015,0.3982,0.01705
CRAM,2018-09-01,0.13185,0.01915,0.0635,0.3338,0.35365
CRAM,2018-10-01,0.207875,0.0351,0.19925,0.456175,0.480925
CRAM,2018-11-01,NA,NA,0.016,0.344,0.0477
CRAM,2019-01-01,NA,NA,0.007,0.3629,0.1481
CRAM,2019-02-01,0.0713,NA,0.211,0.4162,0.259
CRAM,2019-03-01,NA,NA,NA,0.3494,0.371
CRAM,2019-05-01,0.08223333333333332,0.039599999999999996,0.043333333333333335,0.33294999999999997,0.0655
CRAM,2019-06-01,0.0819,NA,0.041,0.2725,0.087
CRAM,2019-07-01,0.11935,0.018533333333333332,0.030940000000000002,0.341475,0.13221666666666668
CRAM,2019-08-01,0.080975,0.027225,0.011266666666666666,0.2711,0.030125
CRAM,2019-09-01,0.14975,0.007166666666666667,0.0278125,0.39271666666666666,0.184725
CRAM,2019-10-01,0.15419166666666667,0.00415,0.20207,0.2852125,0.051725
CRAM,2019-11-01,0.014549999999999999,0.0038,0.046,0.2443,0.1255
CRAM,2020-01-01,0.0689,0.0154,0.0158,0.2445,0.007
CRAM,2020-02-01,0.0395,0.0162,0.0121,0.3281,0.027
CRAM,2020-03-01,0.0878,0.0438,0.0332,0.3603,0.021
CRAM,2020-07-01,0.047799999999999995,6.000000000000001e-4,0.0019500000000000001,0.27741666666666664,0.01745
CRAM,2020-08-01,0.05995,3e-4,0.0014500000000000001,0.3273666666666667,0.019200000000000002
CRAM,2020-09-01,0.0823,NA,0.0115,0.3772,0.02585
CRAM,2020-10-01,0.196575,0.0052,0.0092,0.4103375,0.027299999999999998
CRAM,2021-02-01,0.0299,0.0078,8e-4,0.3463,0.0146
CRAM,2021-03-01,0.0297,0.0047,5e-4,0.3755,0.0188
CRAM,2021-04-01,0.0146,0.018699999999999998,4e-4,0.3001,0.0135
CRAM,2021-05-01,0.0098,0.0089,NA,0.29485,0.0148
CRAM,2021-06-01,0.029199999999999997,0.00935,1e-4,0.32635000000000003,0.01635
CRAM,2021-07-01,0.03925,6e-4,0.0021,0.24280000000000002,0.0177
CRAM,2021-08-01,0.2838333333333333,6.666666666666666e-4,0.00316,0.26443333333333335,0.019366666666666667
CRAM,2021-09-01,0.0232,NA,0.0047,0.34085,0.01845
CRAM,2021-10-01,0.079625,6.666666666666666e-4,0.0014333333333333333,0.36435,0.0177
CRAM,2021-11-01,0.15976666666666667,0.0013333333333333333,0.0029,0.4015666666666667,0.020466666666666668
CRAM,2022-01-01,0.0835,0.0085,0.0011,0.4128,0.02
CRAM,2022-02-01,0.0763,0.0162,0.0015,0.3672,0.0131
CRAM,2022-05-01,0.01915,0.07615,1e-4,0.37155,0.01315
CRAM,2022-06-01,0.02565,0.032,1e-4,0.28800000000000003,0.0149
CRAM,2022-07-01,0.0793,0.010799999999999999,0.0021,0.31575,0.08435
CRAM,2022-08-01,0.10653333333333333,0.00665,0.00445,0.34168333333333334,0.14976666666666666
CRAM,2022-09-01,0.1343,7e-4,0.0034999999999999996,0.3503,0.019700000000000002
CRAM,2022-10-01,0.2119875,0.0024125,0.004925,0.4546,0.0229
CRAM,2022-11-01,0.14306666666666668,0.004066666666666666,0.0011,0.3881,0.023066666666666666
CRAM,2023-02-01,0.0543,0.0096,9e-4,0.3161,0.0121
