uid,domainID,siteID,namedLocation,collectDate,processedDate,parentSampleID,sampleID,sampleCode,analysisType,fieldSampleVolume,labSampleVolume,domainFilterVolume,adjAshFreeDryMass,plantDryMass,plantSurfaceArea,plantAdjAshFreeDryMass,preservativeType,preservativeVolume,remarks,measuredBy,recordedBy,sampleCondition,ashMassDataQF,dataQF,publicationDate,release
fad777ec-f73f-4a1a-93c4-26917324aed2,D05,CRAM,CRAM.AOS.riparian.point.07,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.7,CRAM.20160426.EPIXYLON.7,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
35f74190-1684-45c3-8278-aa0e83e3d8af,D05,CRAM,CRAM.AOS.riparian.point.05,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.5,CRAM.20160426.EPIXYLON.5,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
c44020c9-2a83-4bea-929a-6dec1e8b8490,D05,CRAM,CRAM.AOS.riparian.point.03,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.3,CRAM.20160426.EPIXYLON.3,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
9ce9dc76-465c-4fa0-bf27-a4abf32c1981,D05,CRAM,CRAM.AOS.buoy.c0,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.PHYTOPLANKTON.3,CRAM.20160426.PHYTOPLANKTON.3,NA,AFDM,5000,NA,300,7e-4,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
4dcee7c0-f9bf-4ce2-ab39-0940be998d3f,D05,CRAM,CRAM.AOS.riparian.point.01,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.1,CRAM.20160426.EPIXYLON.1,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
4239f40b-1fac-4380-9981-2b0fefa9f040,D05,CRAM,CRAM.AOS.riparian.point.09,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.9,CRAM.20160426.EPIXYLON.9,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
5f22ea6b-7d23-478e-a3ab-bfdd0225ed4a,D05,CRAM,CRAM.AOS.buoy.c0,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.PHYTOPLANKTON.3,CRAM.20160426.PHYTOPLANKTON.3,NA,taxonomy,5000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
62191c44-6945-4845-8b55-ed1eef59c2de,D05,CRAM,CRAM.AOS.riparian.point.09,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.9,CRAM.20160426.EPIXYLON.9,NA,AFDM,125,NA,5,0.0052,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
1019246e-b85a-4cd6-958e-7f8ebcc2b46c,D05,CRAM,CRAM.AOS.riparian.point.01,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.1,CRAM.20160426.EPIXYLON.1,NA,AFDM,125,NA,5,0.0082,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
f4808b76-38b0-4364-a4c3-0050784bd103,D05,CRAM,CRAM.AOS.riparian.point.05,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.5,CRAM.20160426.EPIXYLON.5,NA,AFDM,125,NA,5,0.0028,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
