table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
ais_maintenance,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,NA,NA
ais_maintenance,startDate,The start date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),NA,NA
ais_maintenance,endDate,The end date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(floor),NA,NA
ais_maintenance,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,NA,NA
ais_maintenance,siteID,NEON site code,string,NA,basic,asIs,NA,NA
ais_maintenance,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,NA,NA
ais_maintenance,maintenanceScheduled,"Indicator of whether maintenance was scheduled, opportunistic, or both",string,NA,basic,asIs,NA,NA
ais_maintenance,maintenanceInterval,Maintenance time interval,string,NA,basic,asIs,NA,NA
ais_maintenance,buoyNitrateSensorInspected,Indicator of whether the nitrate sensor was inspected,string,NA,basic,LOV,NA,NA
ais_maintenance,buoyNitrateSensorCleaned,Indicator of whether the nitrate sensor was cleaned,string,NA,basic,LOV,NA,NA
ais_maintenance,buoyNitrateSensorCalibrated,Indicator of whether the nitrate sensor was calibrated,string,NA,basic,LOV,NA,NA
ais_maintenance,s2StreamNitrateSensorCleaned,Indicator of whether the nitrate sensor at sensor set two (S2) was cleaned,string,NA,basic,LOV,NA,NA
ais_maintenance,s2StreamNitrateSensorCalibrated,Indicator of whether the nitrate sensor at sensor set two (S2) was calibrated,string,NA,basic,LOV,NA,NA
ais_maintenance,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,NA
ais_maintenance,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,NA
ais_sunaCleanAndCal,uid,Unique ID within NEON database; an identifier for the record,string,NA,expanded,asIs,NA,NA
ais_sunaCleanAndCal,collectDate,Date of the collection event,dateTime,NA,expanded,yyyy-MM-dd'T'HH:mm'Z'(floor),NA,NA
ais_sunaCleanAndCal,endDate,The end date-time or interval during which an event occurred,dateTime,NA,expanded,yyyy-MM-dd'T'HH:mm'Z'(floor),NA,NA
ais_sunaCleanAndCal,domainID,Unique identifier of the NEON domain,string,NA,expanded,asIs,NA,NA
ais_sunaCleanAndCal,siteID,NEON site code,string,NA,expanded,asIs,NA,NA
ais_sunaCleanAndCal,namedLocation,Name of the measurement location in the NEON database,string,NA,expanded,asIs,NA,NA
ais_sunaCleanAndCal,biofoulingLevel,Relative description of the amount of biofouling on sensor(s),string,NA,expanded,LOV,NA,NA
ais_sunaCleanAndCal,preCleanNitrateBlankConc,Nitrate blank concentration prior to cleaning,real,micromolesPerLiter,expanded,*.##(round),NA,NA
ais_sunaCleanAndCal,postCleanNitrateBlankConc,Nitrate blank concentration after cleaning,real,micromolesPerLiter,expanded,*.##(round),NA,NA
ais_sunaCleanAndCal,referenceSpectrumUpdated,Indicator of whether a reference spectrum update was performed,string,NA,expanded,LOV,NA,NA
ais_sunaCleanAndCal,referenceSpectrumUpdateSuccessful,Indicator of whether the reference spectrum update was successful,string,NA,expanded,LOV,NA,NA
ais_sunaCleanAndCal,postCalNitrateBlankConc,Nitrate blank concentration post calibration,real,micromolesPerLiter,expanded,*.##(round),NA,NA
NSW_15_minute,domainID,Unique identifier of the NEON domain,string,NA,appended by stackByTable,NA,N,NA
NSW_15_minute,siteID,NEON site code,string,NA,appended by stackByTable,NA,N,NA
NSW_15_minute,horizontalPosition,Index of horizontal location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
NSW_15_minute,verticalPosition,Index of vertical location at a NEON site,string,NA,appended by stackByTable,NA,N,NA
NSW_15_minute,startDateTime,Date and time at which a sampling is initiated,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
NSW_15_minute,endDateTime,Date and time at which a sampling is completed,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
NSW_15_minute,surfWaterNitrateMean,Arithmetic mean nitrate concentration in surface water in micromoles per liter,real,micromolesPerLiter,basic,*.#(round),NA,NA
NSW_15_minute,surfWaterNitrateMinimum,Minimum nitrate concentration in surface water in micromoles per liter,real,micromolesPerLiter,basic,*.#(round),NA,NA
NSW_15_minute,surfWaterNitrateMaximum,Maximum nitrate concentration in surface water in micromoles per liter,real,micromolesPerLiter,basic,*.#(round),NA,NA
NSW_15_minute,surfWaterNitrateVariance,Variance nitrate concentration in surface water in micromoles per liter,real,micromolesPerLiter,basic,*.##(round),NA,NA
NSW_15_minute,surfWaterNitrateNumPts,Number of points used to calculate the arithmetic mean nitrate concentration in surface water,real,number,basic,integer,NA,NA
