"siteID","collectYear","collectMonth","mean_adjAshFreeDryMass","mean_weight","mean_length","mean_pH","mean_DO","mean_chlorophyll","mean_SWN","collectDate","mean_TN_Con_mgL","mean_TP_Con_mgL","mean_NH4_Con_mgL","mean_OrthoP_Con_mgL","mean_NO3NO2_Con_mgL"
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2015-05-05 20:45:00,0.3118,NA,NA,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2015-06-02 15:00:00,NA,5e-04,NA,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2015-06-02 16:00:00,NA,NA,NA,0.017,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2015-06-02 17:15:00,NA,5e-04,NA,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2015-06-02 18:15:00,NA,NA,0.058,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2016-10-18 14:35:00,NA,0.005,NA,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2016-10-18 15:20:00,NA,NA,NA,NA,0.019
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2016-10-18 15:45:00,NA,NA,NA,NA,0.003
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2016-11-08 16:20:00,NA,NA,NA,0.064,0.011
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2016-11-08 17:45:00,NA,NA,0.464,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2016-11-21 15:35:00,0.2541,NA,NA,NA,0.009
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2016-11-21 16:15:00,NA,NA,0.133,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-03-08 15:30:00,NA,NA,NA,0.049,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-04-18 14:20:00,NA,NA,NA,NA,0.059
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-04-18 14:55:00,NA,0.005,0.047,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-04-18 15:45:00,0.3052,NA,NA,0.017,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-04-18 16:30:00,0.3449,NA,NA,0.019,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-05-02 14:55:00,0.3324,NA,NA,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-05-02 15:25:00,NA,0.008,NA,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-05-02 16:27:00,NA,NA,0.065,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-06-06 14:38:00,0.285,NA,NA,NA,NA
"CRAM",2016,4,0.00393333333333333,NA,NA,NA,NA,NA,NA,2017-06-06 15:03:00,NA,0.066,0.053,NA,NA
